Activity,TSP (kg/day),PM10 (kg/day),PM2.5 (kg/day),TSP (kg/year),PM10 (kg/year),PM2.5 (kg/year),TSP (tons/year),PM10 (tons/year),PM2.5 (tons/year),TSP (g/s),PM10 (g/s),PM2.5 (g/s)
Drilling,43.66,22.94,1.15,15935.90,8373.10,418.66,15.94,8.37,0.42,23.14,12.18,0.61
Blasting,43.66,22.94,1.15,15935.90,8373.10,418.66,15.94,8.37,0.42,23.14,12.18,0.61
Dozers - Ore,518.25,388.69,51.83,189161.43,141870.96,18916.14,189.16,141.87,18.92,6.00,4.50,0.60
Dozers - Waste,172.77,129.58,17.28,63063.36,47297.52,6306.34,63.06,47.30,6.31,2.00,1.50,0.20
Hauling - Unpaved Roads,8192.39,1857.27,294.83,2990222.00,677934.00,107613.00,2990.22,677.93,107.61,94.87,21.51,3.41
Graders - Road Maintenance,70.46,15.73,2.42,25718.00,5741.00,883.00,25.72,5.74,0.88,0.82,0.18,0.03
Crushing & Grinding,70.96,16.21,3.26,25900.00,5916.00,1190.00,25.90,5.92,1.19,0.82,0.19,0.04
Material Handling - Conveying,30.68,7.10,1.42,11200.00,2590.00,518.00,11.20,2.59,0.52,0.36,0.08,0.02
Wind Erosion - Stockpiles,1351.51,309.26,62.42,493300.00,112880.00,22783.00,493.30,112.88,22.78,15.64,3.58,0.72
TOTAL UNCONTROLLED,10493.24,2767.84,435.34,3830034.00,1010971.00,158951.00,3830.34,1010.97,158.95,166.79,32.05,5.04
